,Time,open,close,low,high,Vol.trades,Nr.trades,Average,
MSFT,1315,27.29,27.3,27.29,27.29,10528,26,27.2921,0
MSFT,1316,27.29,27.3,27.29,27.3,5050,16,27.2946,0
MSFT,1317,27.29,27.3,27.28,27.3,64887,94,27.2913,0
MSFT,1318,27.3,27.32,27.29,27.31,205019,238,27.3005,2
MSFT,1319,27.32,27.32,27.31,27.31,33099,53,27.3105,0
MSFT,1320,27.31,27.31,27.3,27.3,46965,74,27.3046,1
MSFT,1321,27.3,27.3,27.28,27.28,65066,122,27.2923,0
MSFT,1322,27.28,27.29,27.28,27.28,12436,19,27.2859,0
MSFT,1323,27.28,27.29,27.28,27.29,283543,71,27.2896,1
MSFT,1324,27.29,27.31,27.29,27.3,172103,162,27.2992,2
MSFT,1325,27.3,27.32,27.3,27.3,57663,94,27.3082,0
MSFT,1326,27.31,27.31,27.3,27.3,187398,157,27.3044,3
MSFT,1327,27.3,27.31,27.3,27.3,27110,48,27.302,0
MSFT,1328,27.3,27.32,27.3,27.32,31565,67,27.3097,0
MSFT,1329,27.32,27.32,27.31,27.32,10235,30,27.3162,0
MSFT,1330,27.32,27.32,27.31,27.32,41995,80,27.3163,0
MSFT,1331,27.32,27.32,27.31,27.32,13725,12,27.3195,1
MSFT,1332,27.32,27.32,27.31,27.32,11540,26,27.3167,0
MSFT,1333,27.31,27.33,27.31,27.32,102877,163,27.3238,0
MSFT,1334,27.31,27.32,27.31,27.32,9313,27,27.3157,0
MSFT,1335,27.32,27.32,27.31,27.31,33707,65,27.3175,0
MSFT,1336,27.32,27.32,27.31,27.32,23100,43,27.318,0
MSFT,1337,27.31,27.32,27.31,27.32,20980,23,27.3171,0
MSFT,1338,27.32,27.33,27.32,27.32,76061,86,27.3209,1
MSFT,1339,27.33,27.33,27.32,27.33,6039,18,27.3297,0
MSFT,1340,27.33,27.33,27.32,27.32,5003,18,27.3244,0
MSFT,1341,27.33,27.33,27.32,27.32,20257,46,27.3211,0
MSFT,1342,27.32,27.32,27.31,27.31,49700,64,27.3171,0
MSFT,1343,27.32,27.32,27.31,27.31,27077,35,27.312,0
MSFT,1344,27.31,27.32,27.31,27.32,40118,57,27.3167,0
MSFT,1345,27.32,27.32,27.31,27.31,79560,96,27.3184,1
MSFT,1346,27.31,27.32,27.31,27.31,22216,28,27.3144,0
MSFT,1347,27.31,27.31,27.3,27.3,44594,79,27.3094,0
MSFT,1348,27.31,27.31,27.3,27.3,49542,72,27.3017,0
MSFT,1349,27.3,27.31,27.3,27.3,73909,111,27.3004,0
MSFT,1350,27.3,27.31,27.3,27.3,58051,57,27.3001,0
MSFT,1351,27.3,27.31,27.3,27.3,81899,92,27.3001,1
MSFT,1352,27.31,27.32,27.3,27.3,155368,197,27.3077,0
MSFT,1353,27.31,27.31,27.3,27.3,5010,14,27.3051,0
MSFT,1354,27.3,27.31,27.3,27.31,23760,26,27.3006,0
MSFT,1355,27.3,27.31,27.3,27.3,28906,41,27.3002,0
MSFT,1356,27.31,27.31,27.29,27.3,67285,97,27.2999,0
MSFT,1357,27.3,27.31,27.3,27.3,50111,72,27.3004,1
MSFT,1358,27.3,27.31,27.3,27.3,106484,74,27.3001,5
MSFT,1359,27.3,27.31,27.3,27.31,14228,23,27.3042,0
MSFT,1400,27.31,27.31,27.3,27.3,62173,89,27.3017,0
MSFT,1401,27.3,27.31,27.3,27.3,43928,59,27.3004,0
MSFT,1402,27.31,27.31,27.3,27.3,18568,32,27.3012,0
MSFT,1403,27.3,27.31,27.3,27.3,11555,30,27.3051,0
MSFT,1404,27.3,27.31,27.3,27.3,14013,25,27.3085,0
MSFT,1405,27.31,27.31,27.3,27.3,10176,32,27.3053,0
MSFT,1406,27.31,27.31,27.3,27.31,38132,62,27.3043,0
MSFT,1407,27.3,27.31,27.3,27.3,15841,37,27.3063,0
MSFT,1408,27.3,27.31,27.3,27.3,10988,29,27.3016,0
MSFT,1409,27.3,27.31,27.3,27.3,22428,64,27.3072,0
MSFT,1410,27.3,27.32,27.3,27.31,79203,113,27.3029,0
MSFT,1411,27.31,27.31,27.3,27.31,41970,59,27.3022,0
MSFT,1412,27.3,27.31,27.3,27.31,685030,172,27.3,1
MSFT,1413,27.31,27.31,27.29,27.31,536718,575,27.3006,2
MSFT,1414,27.31,27.32,27.3,27.31,54318,75,27.3112,0
MSFT,1415,27.31,27.32,27.31,27.31,25990,37,27.3111,0
MSFT,1416,27.31,27.32,27.31,27.32,8733,22,27.3148,0
MSFT,1417,27.31,27.32,27.31,27.32,128634,235,27.3186,0
MSFT,1418,27.32,27.32,27.3,27.31,82549,103,27.3105,0
MSFT,1419,27.31,27.31,27.29,27.3,203760,307,27.3,0
MSFT,1420,27.3,27.31,27.3,27.3,164259,191,27.3001,1
MSFT,1421,27.3,27.31,27.3,27.3,10646,26,27.3014,0
MSFT,1422,27.3,27.31,27.3,27.3,25560,33,27.3017,0
MSFT,1423,27.3,27.31,27.3,27.3,14477,30,27.3016,0
MSFT,1424,27.3,27.3,27.3,27.3,258357,119,27.3,4
MSFT,1425,27.3,27.31,27.29,27.31,82225,108,27.2999,0
MSFT,1426,27.3,27.31,27.29,27.29,82314,124,27.2997,0
MSFT,1427,27.29,27.3,27.29,27.29,103917,156,27.2902,0
MSFT,1428,27.29,27.29,27.28,27.28,63032,60,27.2877,1
MSFT,1429,27.29,27.3,27.28,27.29,85999,141,27.2819,0
MSFT,1430,27.29,27.31,27.28,27.3,125263,160,27.2951,0
